ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2026-02-27 04:56:00+00:00,33,1,42140878,6898.75,6899.0,6898.75,6898.75,30,ES.c.0
2026-02-27 04:57:00+00:00,33,1,42140878,6899.0,6899.5,6899.0,6899.25,37,ES.c.0
2026-02-27 04:58:00+00:00,33,1,42140878,6899.25,6899.5,6898.5,6898.75,52,ES.c.0
2026-02-27 04:59:00+00:00,33,1,42140878,6898.75,6899.25,6898.75,6899.25,41,ES.c.0
2026-02-27 05:00:00+00:00,33,1,42140878,6899.0,6900.0,6899.0,6900.0,80,ES.c.0
2026-02-27 05:01:00+00:00,33,1,42140878,6900.0,6901.25,6900.0,6900.75,142,ES.c.0
2026-02-27 05:02:00+00:00,33,1,42140878,6900.75,6901.5,6900.75,6901.25,100,ES.c.0
2026-02-27 05:03:00+00:00,33,1,42140878,6901.5,6902.0,6901.0,6901.75,120,ES.c.0
2026-02-27 05:04:00+00:00,33,1,42140878,6901.75,6901.75,6901.25,6901.75,158,ES.c.0
2026-02-27 05:05:00+00:00,33,1,42140878,6901.75,6902.25,6901.5,6901.75,128,ES.c.0
2026-02-27 05:06:00+00:00,33,1,42140878,6902.0,6902.75,6901.5,6902.5,87,ES.c.0
2026-02-27 05:07:00+00:00,33,1,42140878,6902.5,6903.25,6902.25,6902.5,135,ES.c.0
2026-02-27 05:08:00+00:00,33,1,42140878,6902.5,6902.75,6902.0,6902.25,62,ES.c.0
2026-02-27 05:09:00+00:00,33,1,42140878,6902.25,6902.25,6901.5,6901.5,64,ES.c.0
2026-02-27 05:10:00+00:00,33,1,42140878,6901.5,6901.75,6900.5,6900.75,132,ES.c.0
2026-02-27 05:11:00+00:00,33,1,42140878,6901.0,6902.25,6900.75,6901.75,45,ES.c.0
2026-02-27 05:12:00+00:00,33,1,42140878,6902.0,6902.75,6902.0,6902.75,98,ES.c.0
2026-02-27 05:13:00+00:00,33,1,42140878,6902.75,6903.5,6902.75,6903.0,84,ES.c.0
2026-02-27 05:14:00+00:00,33,1,42140878,6903.25,6904.0,6903.0,6903.75,163,ES.c.0
2026-02-27 05:15:00+00:00,33,1,42140878,6903.75,6904.0,6903.5,6903.75,102,ES.c.0
2026-02-27 05:16:00+00:00,33,1,42140878,6903.75,6904.5,6903.75,6904.5,76,ES.c.0
2026-02-27 05:17:00+00:00,33,1,42140878,6904.5,6904.75,6904.25,6904.5,79,ES.c.0
2026-02-27 05:18:00+00:00,33,1,42140878,6904.5,6905.0,6904.5,6905.0,126,ES.c.0
2026-02-27 05:19:00+00:00,33,1,42140878,6905.0,6905.0,6904.5,6905.0,67,ES.c.0
2026-02-27 05:20:00+00:00,33,1,42140878,6905.0,6906.0,6905.0,6906.0,148,ES.c.0
2026-02-27 05:21:00+00:00,33,1,42140878,6905.75,6905.75,6904.5,6904.5,95,ES.c.0
2026-02-27 05:22:00+00:00,33,1,42140878,6904.5,6905.25,6904.5,6905.25,153,ES.c.0
2026-02-27 05:23:00+00:00,33,1,42140878,6905.0,6905.25,6904.5,6904.5,76,ES.c.0
2026-02-27 05:24:00+00:00,33,1,42140878,6904.5,6905.0,6904.25,6904.5,74,ES.c.0
2026-02-27 05:25:00+00:00,33,1,42140878,6904.5,6905.25,6904.5,6905.0,68,ES.c.0
2026-02-27 05:26:00+00:00,33,1,42140878,6905.0,6905.25,6904.75,6904.75,38,ES.c.0
2026-02-27 05:27:00+00:00,33,1,42140878,6905.0,6905.5,6905.0,6905.5,32,ES.c.0
2026-02-27 05:28:00+00:00,33,1,42140878,6905.75,6906.25,6905.5,6905.75,76,ES.c.0
2026-02-27 05:29:00+00:00,33,1,42140878,6905.75,6906.0,6905.5,6905.75,67,ES.c.0
